Title,Tag,Title_and_tag,Link,Category,Author,Image
The Seven Husbands of Evelyn Hugo: A Novel,"bisexual, meaningful, countless, late, interesting, average, boring, forth, fifth, main,","The Seven Husbands of Evelyn Hugo: A Novel bisexual, meaningful, countless, late, interesting, average, boring, forth, fifth, main,",https://www.amazon.com/Seven-Husbands-Evelyn-Hugo-Novel/dp/1501161938/ref=sr_1_12?qid=1636072681&qsid=140-8072226-5087463&s=books&sr=1-12&sres=0735222355%2C0786967293%2C0385546025%2C006288834X%2C1501110365%2C198217367X%2C1101885688%2C1538728621%2C1982168439%2C1250220254%2C1501171348%2C1501161938%2C1984818503%2C198215487X%2C0593160290%2C1684512719,Literature & Fiction,"Taylor Jenkins Reid, ",https://m.media-amazon.com/images/I/716Tlym5yRL._AC_UY218_.jpg
Better Off Dead: A Jack Reacher Novel,"stupid, second, dull, real, cryptic, good, original, intended, apt, physical,","Better Off Dead: A Jack Reacher Novel stupid, second, dull, real, cryptic, good, original, intended, apt, physical,",https://www.amazon.com/Better-Off-Dead-Reacher-Novel-ebook/dp/B08SBMCSQQ/ref=sr_1_13?qid=1636072681&qsid=140-8072226-5087463&s=books&sr=1-13&sres=0735222355%2C0786967293%2C0385546025%2C006288834X%2C1501110365%2C198217367X%2C1101885688%2C1538728621%2C1982168439%2C1250220254%2C1501171348%2C1501161938%2C1984818503%2C198215487X%2C0593160290%2C1684512719,Literature & Fiction,"Lee Child, ",https://m.media-amazon.com/images/I/81s62RyNcUL._AC_UY218_.jpg
Game On: Tempting Twenty-Eight (Stephanie Plum Book 28),"annoying, flat, sexy, tight, zany, extra, stretchy, free, bitter, high,","Game On: Tempting Twenty-Eight (Stephanie Plum Book 28) annoying, flat, sexy, tight, zany, extra, stretchy, free, bitter, high,",https://www.amazon.com/Game-Tempting-Twenty-Eight-Stephanie-Plum-ebook/dp/B08VJM3RKN/ref=sr_1_14?qid=1636072681&qsid=140-8072226-5087463&s=books&sr=1-14&sres=0735222355%2C0786967293%2C0385546025%2C006288834X%2C1501110365%2C198217367X%2C1101885688%2C1538728621%2C1982168439%2C1250220254%2C1501171348%2C1501161938%2C1984818503%2C198215487X%2C0593160290%2C1684512719,Literature & Fiction,"Janet Evanovich, ",https://m.media-amazon.com/images/I/71PyDZPQcBL._AC_UY218_.jpg
Lore Olympus: Volume One,"confused, related, favorite, 100th, missing, different, wrong, well, bent, honest,","Lore Olympus: Volume One confused, related, favorite, 100th, missing, different, wrong, well, bent, honest,",https://www.amazon.com/Lore-Olympus-One-Rachel-Smythe/dp/0593160290/ref=sr_1_15?qid=1636072681&qsid=140-8072226-5087463&s=books&sr=1-15&sres=0735222355%2C0786967293%2C0385546025%2C006288834X%2C1501110365%2C198217367X%2C1101885688%2C1538728621%2C1982168439%2C1250220254%2C1501171348%2C1501161938%2C1984818503%2C198215487X%2C0593160290%2C1684512719,Literature & Fiction,"Rachel Smythe, ",https://m.media-amazon.com/images/I/91ABnpxiy+L._AC_UY218_.jpg
The Babylon Bee Guide to Wokeness,"simple, bad, great, hilarious, complicated, funny, humorous, resounding, mad, educated,","The Babylon Bee Guide to Wokeness simple, bad, great, hilarious, complicated, funny, humorous, resounding, mad, educated,",https://www.amazon.com/Babylon-Bee-Guide-Wokeness/dp/1684512719/ref=sr_1_16?qid=1636072681&qsid=140-8072226-5087463&s=books&sr=1-16&sres=0735222355%2C0786967293%2C0385546025%2C006288834X%2C1501110365%2C198217367X%2C1101885688%2C1538728621%2C1982168439%2C1250220254%2C1501171348%2C1501161938%2C1984818503%2C198215487X%2C0593160290%2C1684512719,Literature & Fiction,"Babylon Bee, ",https://m.media-amazon.com/images/I/71EDL1ZyoAS._AC_UY218_.jpg
Not All Diamonds and Rosé: The Inside Story of The Real Housewives from the People Who Lived It,"drunk, known, certain, horrible, grammatical, awful, different, sure, easy, documentary,","Not All Diamonds and Rosé: The Inside Story of The Real Housewives from the People Who Lived It drunk, known, certain, horrible, grammatical, awful, different, sure, easy, documentary,",https://www.amazon.com/Not-All-Diamonds-Ros%C3%A9-Housewives/dp/1250765781/ref=sr_1_1?qid=1636072788&s=books&sr=1-1,History,"Dave Quinn, ",https://m.media-amazon.com/images/I/71BMsKPqsIS._AC_UY218_.jpg
"Rigged: How the Media, Big Tech, and the Democrats Seized Our Elections","total, crazy, big, critical, significant, huge, great, physical, numerous, inept,","Rigged: How the Media, Big Tech, and the Democrats Seized Our Elections total, crazy, big, critical, significant, huge, great, physical, numerous, inept,",https://www.amazon.com/Rigged-Media-Democrats-Seized-Elections/dp/168451259X/ref=sr_1_3?qid=1636072788&s=books&sr=1-3,History,"Mollie Hemingway, ",https://m.media-amazon.com/images/I/71hh+Sn5WOS._AC_UY218_.jpg
"To Rescue the Republic: Ulysses S. Grant, the Fragile Union, and the Crisis of 1876","american, political, unnecessary, absurd, violent, late, nineteenth, real, inherent, new,","To Rescue the Republic: Ulysses S. Grant, the Fragile Union, and the Crisis of 1876 american, political, unnecessary, absurd, violent, late, nineteenth, real, inherent, new,",https://www.amazon.com/Rescue-Republic-Ulysses-Fragile-Crisis/dp/0063039540/ref=sr_1_4?qid=1636072788&s=books&sr=1-4,History,"Bret Baier, ",https://m.media-amazon.com/images/I/81u8pA8kNEL._AC_UY218_.jpg
Midnight in Washington: How We Almost Lost Our Democracy and Still Could,"devoted, baseless, russian, ukrainian, clear, ready, double, necessary, boring, big,","Midnight in Washington: How We Almost Lost Our Democracy and Still Could devoted, baseless, russian, ukrainian, clear, ready, double, necessary, boring, big,",https://www.amazon.com/Midnight-Washington-Almost-Democracy-Still/dp/059323152X/ref=sr_1_5?qid=1636072788&s=books&sr=1-5,History,"Adam Schiff, ",https://m.media-amazon.com/images/I/81GsPCydFPL._AC_UY218_.jpg
Vanderbilt: The Rise and Fall of an American Dynasty,"fascinating, personal, previous, second, numerous, gay, old, helpful, informative, natural,","Vanderbilt: The Rise and Fall of an American Dynasty fascinating, personal, previous, second, numerous, gay, old, helpful, informative, natural,",https://www.amazon.com/Vanderbilt-Rise-Fall-American-Dynasty/dp/0062964615/ref=sr_1_7?qid=1636072788&s=books&sr=1-7,History,"Anderson Cooper, Katherine Howe, ",https://m.media-amazon.com/images/I/81ur4nwZdBL._AC_UY218_.jpg
Sapiens: A Brief History of Humankind,"inter, subjective, important, physical, social, early, identical, mathematical, critical, wrong,","Sapiens: A Brief History of Humankind inter, subjective, important, physical, social, early, identical, mathematical, critical, wrong,",https://www.amazon.com/Sapiens-Humankind-Yuval-Noah-Harari/dp/0062316117/ref=sr_1_9?qid=1636072788&s=books&sr=1-9,History,"Yuval Harari, ",https://m.media-amazon.com/images/I/71N3-FFSDxL._AC_UY218_.jpg
Woke Up This Morning: The Definitive Oral History of The Sopranos,"potential, disappointing, large, literary, unique, evident, prior, sacred, bad, outer,","Woke Up This Morning: The Definitive Oral History of The Sopranos potential, disappointing, large, literary, unique, evident, prior, sacred, bad, outer,",https://www.amazon.com/Woke-Up-This-Morning-Definitive/dp/0063090023/ref=sr_1_11?qid=1636072788&s=books&sr=1-11,History,"Michael Imperioli, Steve Schirripa, ",https://m.media-amazon.com/images/I/71MQ-G3kX1L._AC_UY218_.jpg
Gastro Obscura: A Food Adventurer's Guide (Atlas Obscura),"unusual, beautiful, interesting, foodie, able, fabulous, wacky, ridiculous, disappointed, interested,","Gastro Obscura: A Food Adventurer's Guide (Atlas Obscura) unusual, beautiful, interesting, foodie, able, fabulous, wacky, ridiculous, disappointed, interested,",https://www.amazon.com/Gastro-Obscura-Adventurers-Guide-Atlas/dp/1523502193/ref=sr_1_12?qid=1636072788&s=books&sr=1-12,History,"Cecily Wong, Dylan Thuras, ",https://m.media-amazon.com/images/I/91a8I2CEO+L._AC_UY218_.jpg
San Fransicko: Why Progressives Ruin Cities,"free, progressive, great, clean, safe, respectable, insane, ineffective, industrial, homeless,","San Fransicko: Why Progressives Ruin Cities free, progressive, great, clean, safe, respectable, insane, ineffective, industrial, homeless,",https://www.amazon.com/San-Fransicko-Progressives-Ruin-Cities/dp/0063093626/ref=sr_1_13?qid=1636072788&s=books&sr=1-13,History,"Michael Shellenberger, ",https://m.media-amazon.com/images/I/913fo3RVgPL._AC_UY218_.jpg
Where the Deer and the Antelope Play: The Pastoral Observations of One Ignorant American Who Loves to Walk Outside,"liberal, global, social, crazy, emotional, negative, political, long, minded, positive,","Where the Deer and the Antelope Play: The Pastoral Observations of One Ignorant American Who Loves to Walk Outside liberal, global, social, crazy, emotional, negative, political, long, minded, positive,",https://www.amazon.com/Where-Deer-Antelope-Play-Observations/dp/1101984694/ref=sr_1_15?qid=1636072788&s=books&sr=1-15,History,"Nick Offerman, ",https://m.media-amazon.com/images/I/814i+bMiprL._AC_UY218_.jpg
Extreme Ownership: How U.S. Navy SEALs Lead and Win,"unique, elementary, large, disappointed, recent, excited, modern, excellent, helpful, crazy,","Extreme Ownership: How U.S. Navy SEALs Lead and Win unique, elementary, large, disappointed, recent, excited, modern, excellent, helpful, crazy,",https://www.amazon.com/Extreme-Ownership-audiobook/dp/B015TM0RM4/ref=sr_1_16?qid=1636072788&s=books&sr=1-16,History,"Jocko Willink, ",https://m.media-amazon.com/images/I/81zCJh6xsQL._AC_UY218_.jpg
Peril,"real, factual, great, big, complete, liberal, silly, casual, different, random,","Peril real, factual, great, big, complete, liberal, silly, casual, different, random,",https://www.amazon.com/Peril-Bob-Woodward/dp/1982182911/ref=sr_1_2?qid=1636073028&qsid=139-3550215-9846745&s=books&sr=1-2&sres=0374157359%2C1982182911%2C168451259X%2C125083239X%2C0063039540%2C059323152X%2C0062976583%2C0140280197%2C150113597X%2C154164753X%2C0593423062%2C1510765549%2C1737478501%2C0062316117%2C163763059X%2C0593577922,Politics & Social Sciences,"Bob Woodward, ",https://m.media-amazon.com/images/I/71gk+H+yEkL._AC_UY218_.jpg
"Rigged: How the Media, Big Tech, and the Democrats Seized Our Elections","total, crazy, big, critical, significant, huge, great, physical, numerous, inept,","Rigged: How the Media, Big Tech, and the Democrats Seized Our Elections total, crazy, big, critical, significant, huge, great, physical, numerous, inept,",https://www.amazon.com/Rigged-Media-Democrats-Seized-Elections/dp/168451259X/ref=sr_1_3?qid=1636073028&qsid=139-3550215-9846745&s=books&sr=1-3&sres=0374157359%2C1982182911%2C168451259X%2C125083239X%2C0063039540%2C059323152X%2C0062976583%2C0140280197%2C150113597X%2C154164753X%2C0593423062%2C1510765549%2C1737478501%2C0062316117%2C163763059X%2C0593577922,Politics & Social Sciences,"Mollie Hemingway, ",https://m.media-amazon.com/images/I/71hh+Sn5WOS._AC_UY218_.jpg
Glitter Every Day: 365 Quotes from Women I Love,,Glitter Every Day: 365 Quotes from Women I Love,https://www.amazon.com/Glitter-Every-Day-Quotes-Women/dp/125083239X/ref=sr_1_4?qid=1636073028&qsid=139-3550215-9846745&s=books&sr=1-4&sres=0374157359%2C1982182911%2C168451259X%2C125083239X%2C0063039540%2C059323152X%2C0062976583%2C0140280197%2C150113597X%2C154164753X%2C0593423062%2C1510765549%2C1737478501%2C0062316117%2C163763059X%2C0593577922,Politics & Social Sciences,"Andy Cohen, ",https://m.media-amazon.com/images/I/91RDZzeAlSL._AC_UY218_.jpg
"To Rescue the Republic: Ulysses S. Grant, the Fragile Union, and the Crisis of 1876","american, political, unnecessary, absurd, violent, late, nineteenth, real, inherent, new,","To Rescue the Republic: Ulysses S. Grant, the Fragile Union, and the Crisis of 1876 american, political, unnecessary, absurd, violent, late, nineteenth, real, inherent, new,",https://www.amazon.com/Rescue-Republic-Ulysses-Fragile-Crisis/dp/0063039540/ref=sr_1_5?qid=1636073028&qsid=139-3550215-9846745&s=books&sr=1-5&sres=0374157359%2C1982182911%2C168451259X%2C125083239X%2C0063039540%2C059323152X%2C0062976583%2C0140280197%2C150113597X%2C154164753X%2C0593423062%2C1510765549%2C1737478501%2C0062316117%2C163763059X%2C0593577922,Politics & Social Sciences,"Bret Baier, ",https://m.media-amazon.com/images/I/81u8pA8kNEL._AC_UY218_.jpg
Midnight in Washington: How We Almost Lost Our Democracy and Still Could,"devoted, baseless, russian, ukrainian, clear, ready, double, necessary, boring, big,","Midnight in Washington: How We Almost Lost Our Democracy and Still Could devoted, baseless, russian, ukrainian, clear, ready, double, necessary, boring, big,",https://www.amazon.com/Midnight-Washington-Almost-Democracy-Still/dp/059323152X/ref=sr_1_6?qid=1636073028&qsid=139-3550215-9846745&s=books&sr=1-6&sres=0374157359%2C1982182911%2C168451259X%2C125083239X%2C0063039540%2C059323152X%2C0062976583%2C0140280197%2C150113597X%2C154164753X%2C0593423062%2C1510765549%2C1737478501%2C0062316117%2C163763059X%2C0593577922,Politics & Social Sciences,"Adam Schiff, ",https://m.media-amazon.com/images/I/81GsPCydFPL._AC_UY218_.jpg
"The Boy, the Mole, the Fox and the Horse","good, high, cute, old, simplistic, directionless, petty, glad, thoughtful, astounding,","The Boy, the Mole, the Fox and the Horse good, high, cute, old, simplistic, directionless, petty, glad, thoughtful, astounding,",https://www.amazon.com/Boy-Mole-Fox-Horse/dp/0062976583/ref=sr_1_7?qid=1636073028&qsid=139-3550215-9846745&s=books&sr=1-7&sres=0374157359%2C1982182911%2C168451259X%2C125083239X%2C0063039540%2C059323152X%2C0062976583%2C0140280197%2C150113597X%2C154164753X%2C0593423062%2C1510765549%2C1737478501%2C0062316117%2C163763059X%2C0593577922,Politics & Social Sciences,"Charlie Mackesy, ",https://m.media-amazon.com/images/I/71eJk7GtUOL._AC_UY218_.jpg
The 48 Laws of Power,"smart, old, hungry, different, white, narcissistic, high, good, bad, human,","The 48 Laws of Power smart, old, hungry, different, white, narcissistic, high, good, bad, human,",https://www.amazon.com/48-Laws-Power-Robert-Greene/dp/0140280197/ref=sr_1_8?qid=1636073028&qsid=139-3550215-9846745&s=books&sr=1-8&sres=0374157359%2C1982182911%2C168451259X%2C125083239X%2C0063039540%2C059323152X%2C0062976583%2C0140280197%2C150113597X%2C154164753X%2C0593423062%2C1510765549%2C1737478501%2C0062316117%2C163763059X%2C0593577922,Politics & Social Sciences,"Robert Greene, ",https://m.media-amazon.com/images/I/71951W96oWL._AC_UY218_.jpg
American Marxism,"exceptional, equal, able, countless, good, left, leftist, chinese, global, american,","American Marxism exceptional, equal, able, countless, good, left, leftist, chinese, global, american,",https://www.amazon.com/American-Marxism-Mark-R-Levin/dp/150113597X/ref=sr_1_9?qid=1636073028&qsid=139-3550215-9846745&s=books&sr=1-9&sres=0374157359%2C1982182911%2C168451259X%2C125083239X%2C0063039540%2C059323152X%2C0062976583%2C0140280197%2C150113597X%2C154164753X%2C0593423062%2C1510765549%2C1737478501%2C0062316117%2C163763059X%2C0593577922,Politics & Social Sciences,"Mark R. Levin, ",https://m.media-amazon.com/images/I/81lsmyMcYNL._AC_UY218_.jpg
